word,count,postgratuate.csv
the,27.0,True
that,15.0,True
patient,10.0,True
and,9.0,True
pain,7.0,True
medical,6.0,True
death,6.0,True
have,6.0,True
doctor,5.0,True
for,5.0,True
their,5.0,True
intend,4.0,True
use,4.0,True
suicide,4.0,True
principle,4.0,True
Court,3.0,False
effect,3.0,True
good,3.0,True
one,3.0,True
even,3.0,True
you,3.0,True
die,3.0,True
say,3.0,True
care,3.0,True
they,2.0,True
very,2.0,True
develop,2.0,True
kill,2.0,True
insist,2.0,True
risk,2.0,True
hasten,2.0,False
prolong,2.0,True
Annas,2.0,False
long,2.0,True
aggressive,2.0,True
drug,2.0,True
end,2.0,True
can,2.0,True
physician,2.0,True
don,2.0,False
control,2.0,True
will,2.0,True
although,2.0,True
rule,2.0,True
medicine,2.0,True
translate,1.0,True
identify,1.0,True
approaching,1.0,False
painful,1.0,True
Improving,1.0,False
Care,1.0,False
Life,1.0,False
undertreatment,1.0,False
clear,1.0,True
make,1.0,True
must,1.0,True
ineffectual,1.0,False
force,1.0,True
procedure,1.0,True
board,1.0,True
may,1.0,True
presumptively,1.0,False
report,1.0,True
period,1.0,True
modern,1.0,True
license,1.0,True
physical,1.0,True
agony,1.0,True
Just,1.0,False
three,1.0,True
week,1.0,True
before,1.0,True
National,1.0,False
Academy,1.0,False
Science,1.0,False
result,1.0,True
should,1.0,True
manage,1.0,True
incompetently,1.0,False
NAS,1.0,False
release,1.0,True
dishonor,1.0,False
twin,1.0,True
into,1.0,True
unconcerned,1.0,False
billing,1.0,False
code,1.0,True
seem,1.0,True
new,1.0,True
despair,1.0,True
standard,1.0,True
assess,1.0,True
treat,1.0,True
number,1.0,True
life,1.0,True
lawyer,1.0,True
large,1.0,True
play,1.0,True
key,1.0,True
role,1.0,True
these,1.0,True
initiative,1.0,True
Medicare,1.0,False
therapy,1.0,True
licensing,1.0,False
management,1.0,True
problem,1.0,True
abuse,1.0,True
systematic,1.0,True
constitute,1.0,True
extent,1.0,True
profession,1.0,True
take,1.0,True
step,1.0,True
require,1.0,True
suffer,1.0,True
predictably,1.0,False
young,1.0,True
needlessly,1.0,False
train,1.0,True
hospice,1.0,True
test,1.0,True
with,1.0,True
knowledge,1.0,True
whom,1.0,True
like,1.0,True
morphine,1.0,False
permissible,1.0,False
actor,1.0,True
only,1.0,True
doctors,1.0,False
recent,1.0,True
year,1.0,True
justify,1.0,True
high,1.0,True
dos,1.0,False
terminally,1.0,False
Center,1.0,False
ill,1.0,True
though,1.0,True
increase,1.0,True
dosage,1.0,False
eventually,1.0,True
Nancy,1.0,False
Dubler,1.0,False
director,1.0,True
Montefiore,1.0,False
foreseen—is,1.0,False
harmful,1.0,False
effects—a,1.0,False
two,1.0,True
decision,1.0,True
carry,1.0,True
important,1.0,True
implication,1.0,True
how,1.0,True
seek,1.0,True
relieve,1.0,True
suffering,1.0,False
there,1.0,True
constitutional,1.0,False
right,1.0,True
support,1.0,True
double,1.0,True
moral,1.0,True
hold,1.0,True
action,1.0,True
Medical,1.0,False
contend,1.0,True
part,1.0,True
illegal,1.0,True
Supreme,1.0,False
surgery,1.0,True
call,1.0,True
those,1.0,True
homicide,1.0,True
because,1.0,True
didn,1.0,False
your,1.0,True
shield,1.0,True
another,1.0,True
level,1.0,True
many,1.0,True
community,1.0,True
acknowledge,1.0,True
debate,1.0,True
fuel,1.0,True
nothing,1.0,True
purpose,1.0,True
legitimate,1.0,True
who,1.0,True
until,1.0,True
now,1.0,True
strongly,1.0,False
could,1.0,True
not,1.0,True
give,1.0,True
sufficient,1.0,True
medication,1.0,False
might,1.0,True
George,1.0,False
chair,1.0,True
health,1.0,True
law,1.0,True
department,1.0,True
Boston,1.0,False
University,1.0,False
maintain,1.0,True
prescribe,1.0,True
suspension,1.0,False
